"Database Tools","Execute All","Ctrl+Alt+X","Editing SQL"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing JavaScript Source"
"Refactor - JavaScript","Change Function Signature","Shift+Alt+C","JavaScript View"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Refactor - JavaScript","Extract Function","Shift+Alt+M","JavaScript View"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Run/Debug","Run Maven Build","Shift+Alt+X M","In Windows"
"Terminal view commands","Copy","Shift+Ctrl+C","Terminal Control in Focus"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Navigate","Open Task","Ctrl+F12","In Windows"
"File","Refresh","F5","In Windows"
"Window","Update Project","Alt+F5","In Windows"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks View"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Edit","Move","Shift+Alt+V","Editing JSP Source"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"Terminal Commands","Open Local Terminal on Selection","Shift+Ctrl+Alt+T","In Windows"
"Web Page Editor Layout","Horizontal Layout","Shift+Ctrl+F10","Using Web Page Editor"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Views","Show View (Package Explorer)","Alt+1","In Windows"
"Views","JavaScript Script Explorer","Shift+Alt+Q P","JavaScript View"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Run/Debug","Resume","F8","Debugging"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks View"
"ASA 9.x table schema editor","Cut","Alt+X","In Windows"
"View","Zoom Out","Ctrl+-","In Windows"
"Run/Debug","Debug JUnit Test","Shift+F9","In Windows"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"File","Rename","F2","In Windows"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Terminal view commands","Terminal view insert","Alt+Y","Terminal Typing Connected"
"Edit","Quick Fix","Alt+Enter","In Windows"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Alt+U","In Windows"
"Source","Toggle Comment","Esc Ctrl+C","Editing JavaScript Source"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","JavaScript View"
"Source","Quick Assist - Assign to var","Ctrl+2 F","Editing JavaScript Source"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Views","Show View (Console)","Alt+6","In Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing in Structured Text Editors"
"Refactor - JavaScript","Show Refactor Quick Menu","Shift+Alt+T","JavaScript View"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Database Tools","Goto Matching Token","Shift+Ctrl+P","Editing SQL"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Spy","Plug-in Selection Spy","Shift+Alt+F1","In Dialogs and Windows"
"Text Editing","Line End","End","Editing Text"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Navigate","Open Remote Task","Shift+Ctrl+Alt+F12","In Windows"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Git","Commit...","Ctrl+#","In Windows"
"Terminal view commands","Terminal view insert","Alt+A","Terminal Typing Connected"
"File","Save All","Shift+Ctrl+S","In Windows"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing JavaScript Source"
"Navigate","Next Page","Ctrl+F5","Using Web Page Editor"
"Navigate","Next Page","Ctrl+F5","In Faces Config Editor"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks View"
"File","New menu","Shift+Alt+N","In Windows"
"Terminal view commands","Terminal view insert","Alt+H","Terminal Typing Connected"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing JavaScript Source"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing JavaScript Source"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing JavaScript Source"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing JavaScript Source"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Navigate","Open Declaration","F3","JavaScript View"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"JavaScript Debug","Open Source","Shift+Ctrl+3","Debugging"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"Views","Show View (JUnit)","Alt+J","In Windows"
"Terminal view commands","Maximize Active View or Editor","Alt+Up","Terminal Control in Focus"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+E","Terminal Typing Connected"
"Source","Quick Assist - Extract method","Ctrl+2 M","Editing Java Source"
"Edit","Add Maven Dependency","Shift+Ctrl+D","Editing XML Source"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Navigate","Open Declaration","F3","In Windows"
"Edit","Add Im&port","Shift+Ctrl+M","Editing JSP Source"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Run/Debug","Rerun JUnit Test","Shift+F10","In Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Run/Debug","Watch","Shift+Alt+W","In Windows"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Source","Format","Esc Ctrl+F","Editing JavaScript Source"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Window","Show System Menu","Alt+-","In Windows"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected"
"Run/Debug","Step Over","F6","Debugging"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
